id,admission_threshold,cache_size,cms_delta,cms_epsilon,default_latency,latency_utility,model,policy,protected_fraction,request_count,size_utility,tau,tiny_window_size,window_size
145,2,10000000,1.00E-04,0.0001,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
146,2,10000000,1.00E-03,0.0001,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
147,2,10000000,1.00E-02,0.0001,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
148,3,10000000,1.00E-07,0.001,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
149,3,10000000,1.00E-06,0.001,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
150,3,10000000,1.00E-05,0.001,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
151,3,10000000,1.00E-04,0.001,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
152,3,10000000,1.00E-03,0.001,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
153,3,10000000,1.00E-02,0.001,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
154,3,10000000,1.00E-07,0.01,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
155,3,10000000,1.00E-06,0.01,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
156,3,10000000,1.00E-05,0.01,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
157,3,10000000,1.00E-04,0.01,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
158,3,10000000,1.00E-03,0.01,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
159,3,10000000,1.00E-02,0.01,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
160,3,10000000,1.00E-07,0.1,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
161,3,10000000,1.00E-06,0.1,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
162,3,10000000,1.00E-05,0.1,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
163,3,10000000,1.00E-04,0.1,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
164,3,10000000,1.00E-03,0.1,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
165,3,10000000,1.00E-02,0.1,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
166,3,10000000,1.00E-07,0.0001,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
167,3,10000000,1.00E-06,0.0001,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
168,3,10000000,1.00E-05,0.0001,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
169,3,10000000,1.00E-04,0.0001,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
170,3,10000000,1.00E-03,0.0001,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
171,3,10000000,1.00E-02,0.0001,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
172,4,10000000,1.00E-06,0.001,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
173,4,10000000,1.00E-05,0.001,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
174,4,10000000,1.00E-04,0.001,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
175,4,10000000,1.00E-03,0.001,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
176,4,10000000,1.00E-02,0.001,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
177,4,10000000,1.00E-07,0.01,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
178,4,10000000,1.00E-06,0.01,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
179,4,10000000,1.00E-05,0.01,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
180,4,10000000,1.00E-04,0.01,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
181,4,10000000,1.00E-03,0.01,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
182,4,10000000,1.00E-02,0.01,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
183,4,10000000,1.00E-07,0.1,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
184,4,10000000,1.00E-06,0.1,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
185,4,10000000,1.00E-05,0.1,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
186,4,10000000,1.00E-04,0.1,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
187,4,10000000,1.00E-03,0.1,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
188,4,10000000,1.00E-02,0.1,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
189,4,10000000,1.00E-07,0.0001,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
190,4,10000000,1.00E-06,0.0001,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
191,4,10000000,1.00E-05,0.0001,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
192,4,10000000,1.00E-04,0.0001,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
193,4,10000000,1.00E-03,0.0001,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
194,4,10000000,1.00E-02,0.0001,,,wiki-t-10,lfu-doorkeeper,,1000000,,,,
195,,10000000,,,,,wiki-t-10,lfu-byte,,1000000,freq_over_size,,,
196,,10000000,,,,,wiki-t-10,lfu-byte,,1000000,freq_times_size,,,
197,,10000000,,,,,wiki-t-10,lfu-aging,,1000000,,100,,
198,,10000000,,,,,wiki-t-10,lfu-aging,,1000000,,1000,,
199,,10000000,,,,,wiki-t-10,lfu-aging,,1000000,,10000,,
200,,10000000,,,,,wiki-t-10,lfu-aging,,1000000,,100000,,
201,,10000000,,,,,wiki-t-10,lfu-aging,,1000000,,1000000,,
202,,10000000,,,,,wiki-t-10,lfu,,1000000,,,,
203,,1000000,,,,,docker-registry-processed,two-segment,0.1,1000000,,,,
204,,1000000,,,,,docker-registry-processed,two-segment,0.2,1000000,,,,
205,,1000000,,,,,docker-registry-processed,two-segment,0.3,1000000,,,,
206,,1000000,,,,,docker-registry-processed,two-segment,0.4,1000000,,,,
207,,1000000,,,,,docker-registry-processed,two-segment,0.5,1000000,,,,
208,,1000000,,,,,docker-registry-processed,two-segment,0.6,1000000,,,,
209,,1000000,,,,,docker-registry-processed,two-segment,0.7,1000000,,,,
210,,1000000,,,,,docker-registry-processed,two-segment,0.8,1000000,,,,
211,,1000000,,,,,docker-registry-processed,two-segment,0.9,1000000,,,,
212,,1000000,,,,,docker-registry-processed,tiny-lfu-byte,,1000000,,,100,
213,,1000000,,,,,docker-registry-processed,tiny-lfu-byte,,1000000,,,1000,
214,,1000000,,,,,docker-registry-processed,tiny-lfu-byte,,1000000,,,10000,
215,,1000000,,,,,docker-registry-processed,tiny-lfu-byte,,1000000,,,100000,
